S.No,Category,Sub-category,Query,Result ,Issue,After Changes
260,Footwear,Sneakers,mesh sneakers,good,,
261,Footwear,Sneakers,leather platform sneakers,good,,
262,Footwear,Sneakers,knit  hightop sneakers,good,,
263,Footwear,Wedges,suede wedge sandals,good,,
264,Footwear,Heels,red heels,bad,Color detection is poor. many relevant matches listed way below,
265,Footwear,Boots,leopard print sock boots,good,One sock also listed.,
266,Footwear,heels,Aquazzura high heels,good,,
267,Footwear,sandals,CULT GAIA leather sandals,good,,
268,Footwear,Pumps,pink satin pumps,good,,
269,Footwear,Flats,gold sandals,bad,"Only 1 result detected, yellow sandal",
270,Kidswear,Girls,LOVESHACKFANCY KIDS dress,"OK
",Womenswear after result 9,many items in these categories listed under Unisex as well
271,Kidswear,Girls,girls polo shirts,no result,,
272,Kidswear,Girls,Chloe kids cardigan,bad,Only 3 results relevant,
273,Kidswear,Girls,kids pants,good,,
274,Kidswear,Girls,kids sandals,good,,
275,Kidswear,Girls,girls sandals,no result,,
276,Kidswear,Girls,kids sneakers,good,,
277,Kidswear,Boys,boys shoes,no result,,
278,Kidswear,Boys,boys pants,bad,"Only 1 result detected, irrelevant. Detected because of brand name.",
279,Kidswear,Boys,kids sneakers,bad,Includes both girls and boys sneakers,
280,Kidswear,Boys,boys hoodies,bad,Results - womenswear hoodies,
281,Kidswear,Baby ,onesie,good,,
282,Kidswear,Baby ,baby shoes,no result,,
283,Kidswear,Baby ,baby top and shorts set,good,Only one result detected,
284,Kidswear,Baby ,Baby dress,bad,1 result detected - irrelevant,
